Repository,File,Method,Count,Imports,Parameters,Annotations,Value,Href,Version,MethodParameter,FullClassPath,ModifiedValue
accumulo,AccumuloMonitorAppender.java,setHeader,1,[java.nio.charset.StandardCharsets.UTF_8;org.apache.accumulo.core.util.LazySingletons.GSON;java.io.PrintWriter;java.io.StringWriter;java.net.URI;java.net.http.HttpClient;java.net.http.HttpRequest;java.net.http.HttpRequest.BodyPublishers;java.net.http.HttpResponse.BodyHandlers;java.util.Optional;java.util.function.Supplier;org.apache.accumulo.core.Constants;org.apache.accumulo.core.conf.SiteConfiguration;org.apache.accumulo.core.fate.zookeeper.ZooCache.ZcStat;org.apache.accumulo.core.util.Pair;org.apache.accumulo.monitor.rest.logs.LogResource;org.apache.accumulo.monitor.rest.logs.SingleLogEvent;org.apache.accumulo.server.ServerContext;org.apache.logging.log4j.core.Appender;org.apache.logging.log4j.core.Core;org.apache.logging.log4j.core.Filter;org.apache.logging.log4j.core.LogEvent;org.apache.logging.log4j.core.appender.AbstractAppender;org.apache.logging.log4j.core.config.Property;org.apache.logging.log4j.core.config.plugins.Plugin;org.apache.logging.log4j.core.config.plugins.PluginBuilderFactory;edu.umd.cs.findbugs.annotations.SuppressFBWarnings],[java.lang.String;java.lang.String],[],"setHeader(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#setHeader(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,setHeader
activemq,HttpClientTransport.java,setHeader,1,[java.io.DataInputStream;java.io.IOException;java.io.InterruptedIOException;java.net;java.security.cert.X509Certificate;java.util.Arrays;java.util.Collections;java.util.List;java.util.zip.GZIPInputStream;java.util.zip.GZIPOutputStream;org.apache.activemq.command.ShutdownInfo;org.apache.activemq.transport.FutureResponse;org.apache.activemq.transport.util.TextWireFormat;org.apache.activemq.util.ByteArrayOutputStream;org.apache.activemq.util.IOExceptionSupport;org.apache.activemq.util.IdGenerator;org.apache.activemq.util.ServiceStopper;org.apache.activemq.wireformat.WireFormat;org.apache.http.Header;org.apache.http.HttpHost;org.apache.http.HttpRequest;org.apache.http.HttpRequestInterceptor;org.apache.http.HttpResponse;org.apache.http.HttpStatus;org.apache.http.auth.AuthScope;org.apache.http.auth.UsernamePasswordCredentials;org.apache.http.client.CredentialsProvider;org.apache.http.client.HttpClient;org.apache.http.client.HttpResponseException;org.apache.http.client.ResponseHandler;org.apache.http.client.config.CookieSpecs;org.apache.http.client.config.RequestConfig;org.apache.http.client.methods.HttpGet;org.apache.http.client.methods.HttpHead;org.apache.http.client.methods.HttpOptions;org.apache.http.client.methods.HttpPost;org.apache.http.conn.HttpClientConnectionManager;org.apache.http.entity.ByteArrayEntity;org.apache.http.impl.client.BasicCredentialsProvider;org.apache.http.impl.client.BasicResponseHandler;org.apache.http.impl.client.HttpClientBuilder;org.apache.http.impl.conn.PoolingHttpClientConnectionManager;org.apache.http.impl.conn.SystemDefaultRoutePlanner;org.apache.http.message.AbstractHttpMessage;org.apache.http.protocol.HttpContext;org.apache.http.util.EntityUtils;org.slf4j.Logger;org.slf4j.LoggerFactory],[java.lang.String;java.lang.String],[],"setHeader(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#setHeader(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,setHeader
acme4j,DefaultConnection.java,header,6,[java.time.format.DateTimeFormatter.RFC_1123_DATE_TIME;java.util.function.Predicate.not;java.util.stream.Collectors.toUnmodifiableList;java.io.IOException;java.io.InputStream;java.net.MalformedURLException;java.net.URI;java.net.URL;java.net.http.HttpClient;java.net.http.HttpRequest;java.net.http.HttpResponse;java.security.KeyPair;java.security.cert.CertificateException;java.security.cert.CertificateFactory;java.security.cert.X509Certificate;java.time.Instant;java.time.ZoneId;java.time.ZonedDateTime;java.time.format.DateTimeParseException;java.util.Collection;java.util.List;java.util.Objects;java.util.Optional;java.util.Set;java.util.function.Consumer;java.util.regex.Matcher;java.util.regex.Pattern;java.util.zip.GZIPInputStream;edu.umd.cs.findbugs.annotations.Nullable;org.shredzone.acme4j.Login;org.shredzone.acme4j.Problem;org.shredzone.acme4j.Session;org.shredzone.acme4j.exception.AcmeException;org.shredzone.acme4j.exception.AcmeNetworkException;org.shredzone.acme4j.exception.AcmeProtocolException;org.shredzone.acme4j.exception.AcmeRateLimitedException;org.shredzone.acme4j.exception.AcmeRetryAfterException;org.shredzone.acme4j.exception.AcmeServerException;org.shredzone.acme4j.exception.AcmeUnauthorizedException;org.shredzone.acme4j.exception.AcmeUserActionRequiredException;org.shredzone.acme4j.toolbox.AcmeUtils;org.shredzone.acme4j.toolbox.JSON;org.shredzone.acme4j.toolbox.JSONBuilder;org.shredzone.acme4j.toolbox.JoseUtils;org.slf4j.Logger;org.slf4j.LoggerFactory],[java.lang.String;java.lang.String],[],"header(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#header(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,header
acme4j,DefaultConnection.java,header,1,[java.time.format.DateTimeFormatter.RFC_1123_DATE_TIME;java.util.function.Predicate.not;java.util.stream.Collectors.toUnmodifiableList;java.io.IOException;java.io.InputStream;java.net.MalformedURLException;java.net.URI;java.net.URL;java.net.http.HttpClient;java.net.http.HttpRequest;java.net.http.HttpResponse;java.security.KeyPair;java.security.cert.CertificateException;java.security.cert.CertificateFactory;java.security.cert.X509Certificate;java.time.Instant;java.time.ZoneId;java.time.ZonedDateTime;java.time.format.DateTimeParseException;java.util.Collection;java.util.List;java.util.Objects;java.util.Optional;java.util.Set;java.util.function.Consumer;java.util.regex.Matcher;java.util.regex.Pattern;java.util.zip.GZIPInputStream;edu.umd.cs.findbugs.annotations.Nullable;org.shredzone.acme4j.Login;org.shredzone.acme4j.Problem;org.shredzone.acme4j.Session;org.shredzone.acme4j.exception.AcmeException;org.shredzone.acme4j.exception.AcmeNetworkException;org.shredzone.acme4j.exception.AcmeProtocolException;org.shredzone.acme4j.exception.AcmeRateLimitedException;org.shredzone.acme4j.exception.AcmeRetryAfterException;org.shredzone.acme4j.exception.AcmeServerException;org.shredzone.acme4j.exception.AcmeUnauthorizedException;org.shredzone.acme4j.exception.AcmeUserActionRequiredException;org.shredzone.acme4j.toolbox.AcmeUtils;org.shredzone.acme4j.toolbox.JSON;org.shredzone.acme4j.toolbox.JSONBuilder;org.shredzone.acme4j.toolbox.JoseUtils;org.slf4j.Logger;org.slf4j.LoggerFactory],[java.lang.String;unknown],[],"header(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#header(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,header
acme4j,HttpConnector.java,header,1,[java.net.URISyntaxException;java.net.URL;java.net.http.HttpClient;java.net.http.HttpRequest;java.util.Properties;org.slf4j.LoggerFactory],[java.lang.String;java.lang.String],[],"header(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#header(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,header
activemq-artemis,KubernetesClientImpl.java,header,2,[java.net.HttpURLConnection.HTTP_CREATED;java.io.File;java.io.FileInputStream;java.io.IOException;java.io.InputStream;java.net.URI;java.net.http.HttpClient;java.net.http.HttpRequest;java.net.http.HttpResponse;java.net.http.HttpResponse.BodyHandlers;java.nio.file.Path;java.security.KeyStore;java.security.SecureRandom;java.security.cert.CertificateFactory;java.security.cert.X509Certificate;java.util.Scanner;javax.net.ssl.SSLContext;javax.net.ssl.TrustManagerFactory;org.apache.activemq.artemis.spi.core.security.jaas.kubernetes.model.TokenReview;org.apache.activemq.artemis.utils.JsonLoader;org.slf4j.Logger;org.slf4j.LoggerFactory],[java.lang.String;java.lang.String],[],"header(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#header(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,header
apicurio-registry,KeycloakUtils.java,header,1,[com.fasterxml.jackson.core.JsonProcessingException;com.fasterxml.jackson.databind.ObjectMapper;io.apicur.registry.v1.ApicurioRegistry;io.apicurio.registry.systemtests.executor.Exec;io.apicurio.registry.systemtests.platform.Kubernetes;io.apicurio.registry.systemtests.registryinfra.ResourceManager;io.apicurio.registry.systemtests.registryinfra.resources.RouteResourceType;io.apicurio.registry.systemtests.registryinfra.resources.ServiceResourceType;org.apache.hc.core5.http.HttpStatus;org.slf4j.Logger;java.net.URI;java.net.URISyntaxException;java.net.URL;java.net.URLEncoder;java.net.http.HttpRequest;java.net.http.HttpResponse;java.nio.charset.StandardCharsets;java.nio.file.Paths;java.time.Duration;java.util.HashMap;java.util.Map],[java.lang.String;java.lang.String],[],"header(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#header(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,header
apicurio-registry,HttpEventSink.java,header,1,[io.apicurio.registry.events.EventSink;io.vertx.core.buffer.Buffer;io.vertx.core.eventbus.Message;org.slf4j.Logger;javax.enterprise.context.ApplicationScoped;javax.inject.Inject;javax.ws.rs.core.MediaType;java.net.URI;java.net.http.HttpClient;java.net.http.HttpRequest;java.net.http.HttpResponse;java.util.UUID],[java.lang.String;unknown],[],"header(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#header(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,header
apicurio-registry,HttpEventSink.java,header,4,[io.apicurio.registry.events.EventSink;io.vertx.core.buffer.Buffer;io.vertx.core.eventbus.Message;org.slf4j.Logger;javax.enterprise.context.ApplicationScoped;javax.inject.Inject;javax.ws.rs.core.MediaType;java.net.URI;java.net.http.HttpClient;java.net.http.HttpRequest;java.net.http.HttpResponse;java.util.UUID],[java.lang.String;java.lang.String],[],"header(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#header(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,header
apicurio-registry,ApicurioRegistryApiClient.java,header,8,[com.fasterxml.jackson.core.JsonProcessingException;com.fasterxml.jackson.databind.ObjectMapper;io.apicurio.registry.systemtests.framework.HttpClientUtils;io.apicurio.registry.systemtests.framework.LoggerUtils;io.apicurio.registry.systemtests.time.TimeoutBudget;org.apache.hc.core5.http.HttpStatus;org.slf4j.Logger;java.net.URI;java.net.http.HttpRequest;java.net.http.HttpResponse;java.time.Duration],[java.lang.String;java.lang.String],[],"header(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#header(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,header
apicurio-registry,ApicurioRegistryApiClient.java,header,1,[com.fasterxml.jackson.core.JsonProcessingException;com.fasterxml.jackson.databind.ObjectMapper;io.apicurio.registry.systemtests.framework.HttpClientUtils;io.apicurio.registry.systemtests.framework.LoggerUtils;io.apicurio.registry.systemtests.time.TimeoutBudget;org.apache.hc.core5.http.HttpStatus;org.slf4j.Logger;java.net.URI;java.net.http.HttpRequest;java.net.http.HttpResponse;java.time.Duration],[java.lang.String;unknown],[],"header(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#header(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,header
apm-agent-java,JavalinInstrumentationTest.java,header,1,[co.elastic.apm.agent.AbstractInstrumentationTest;co.elastic.apm.agent.impl.transaction.Span;io.javalin.Javalin;io.javalin.http.Context;io.javalin.http.HandlerType;io.javalin.plugin.rendering.FileRenderer;io.javalin.plugin.rendering.JavalinRenderer;org.jetbrains.annotations.NotNull;org.junit.jupiter.api.AfterAll;org.junit.jupiter.api.BeforeAll;org.junit.jupiter.api.Test;java.net.URI;java.net.http.HttpClient;java.net.http.HttpRequest;java.net.http.HttpRequest.BodyPublishers;java.net.http.HttpResponse;java.util.List;java.util.Map;java.util.concurrent.CompletableFuture;java.util.stream.Collectors;org.assertj.core.api.Assertions.assertThat],[java.lang.String;java.lang.String],[],"header(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#header(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,header
azure-sdk-for-java,Utils.java,header,1,[com.azure.tools.bomgenerator.models.BomDependency;com.azure.tools.bomgenerator.models.BomDependencyNoVersion;com.fasterxml.jackson.databind.DeserializationFeature;com.fasterxml.jackson.databind.ObjectMapper;com.fasterxml.jackson.databind.SerializationFeature;com.fasterxml.jackson.dataformat.xml.XmlMapper;com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator;org.apache.maven.model.Dependency;org.apache.maven.model.Model;org.jboss.shrinkwrap.resolver.api.maven.Maven;org.jboss.shrinkwrap.resolver.api.maven.MavenFormatStage;org.jboss.shrinkwrap.resolver.api.maven.MavenResolvedArtifact;org.jboss.shrinkwrap.resolver.api.maven.MavenResolverSystemBase;org.jboss.shrinkwrap.resolver.api.maven.MavenStrategyStage;org.jboss.shrinkwrap.resolver.api.maven.PomEquippedResolveStage;org.jboss.shrinkwrap.resolver.api.maven.PomlessResolveStage;org.jboss.shrinkwrap.resolver.api.maven.ScopeType;org.jboss.shrinkwrap.resolver.api.maven.coordinate.MavenDependency;org.slf4j.Logger;org.slf4j.LoggerFactory;java.io.FileReader;java.io.FileWriter;java.io.IOException;java.io.InputStreamReader;java.net.URI;java.net.http.HttpClient;java.net.http.HttpRequest;java.net.http.HttpResponse;java.time.Duration;java.util.ArrayList;java.util.Arrays;java.util.HashSet;java.util.List;java.util.Properties;java.util.regex.Pattern;java.util.stream.Collectors],[java.lang.String;java.lang.String],[],"header(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#header(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,header
basex,HTTPTest.java,setHeader,1,[org.basex.util.http.Method;org.junit.jupiter.api.Assertions;java.io;java.net;java.net.http;java.net.http.HttpRequest;java.nio.charset;org.basex;org.basex.core;org.basex.io;org.basex.io.in;org.basex.util.http;org.basex.util.list;org.junit.jupiter.api],[java.lang.String;unknown],[],"setHeader(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#setHeader(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,setHeader
basex,FnHttpTest.java,header,14,[org.basex.core.Text;org.basex.query.func.Function;org.basex.util.Token;org.junit.jupiter.api.Assertions;java.io;java.net;java.net.http;java.net.http.HttpClient.Version;java.nio.charset;java.util;java.util.List;java.util.Map;javax.net.ssl;org.basex.core;org.basex.core.cmd;org.basex.io;org.basex.io.in;org.basex.io.serial;org.basex.query;org.basex.query.QueryError;org.basex.query.util;org.basex.query.util.list;org.basex.query.value;org.basex.query.value.item;org.basex.query.value.node;org.basex.query.value.seq;org.basex.query.value.type;org.basex.util;org.basex.util.http;org.basex.util.list;org.junit.jupiter.api;org.junit.jupiter.api.Test],[java.lang.String;java.lang.String],[],"header(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#header(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,header
basex,FnHttpTest.java,header,14,[org.basex.core.Text;org.basex.query.func.Function;org.basex.util.Token;org.junit.jupiter.api.Assertions;java.io;java.net;java.net.http;java.net.http.HttpClient.Version;java.nio.charset;java.util;java.util.List;java.util.Map;javax.net.ssl;org.basex.core;org.basex.core.cmd;org.basex.io;org.basex.io.in;org.basex.io.serial;org.basex.query;org.basex.query.QueryError;org.basex.query.util;org.basex.query.util.list;org.basex.query.value;org.basex.query.value.item;org.basex.query.value.node;org.basex.query.value.seq;org.basex.query.value.type;org.basex.util;org.basex.util.http;org.basex.util.list;org.junit.jupiter.api;org.junit.jupiter.api.Test],[java.lang.String;java.lang.String],[],"header(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/WebSocket.Builder.html#header(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.WebSocket.Builder,header
bisq,SeedNodeReportingService.java,header,1,[bisq.core.dao.DaoFacade;bisq.core.dao.monitoring.BlindVoteStateMonitoringService;bisq.core.dao.monitoring.DaoStateMonitoringService;bisq.core.dao.monitoring.ProposalStateMonitoringService;bisq.core.dao.monitoring.model.BlindVoteStateBlock;bisq.core.dao.monitoring.model.DaoStateBlock;bisq.core.dao.monitoring.model.ProposalStateBlock;bisq.core.dao.monitoring.network.StateNetworkService;bisq.core.dao.monitoring.network.messages.GetBlindVoteStateHashesRequest;bisq.core.dao.monitoring.network.messages.GetDaoStateHashesRequest;bisq.core.dao.monitoring.network.messages.GetProposalStateHashesRequest;bisq.core.dao.node.full.network.FullNodeNetworkService;bisq.core.dao.node.messages.GetBlocksRequest;bisq.core.dao.state.DaoStateListener;bisq.core.dao.state.DaoStateService;bisq.network.p2p.P2PService;bisq.network.p2p.network.NetworkNode;bisq.network.p2p.network.Statistic;bisq.network.p2p.peers.PeerManager;bisq.network.p2p.peers.getdata.RequestDataManager;bisq.network.p2p.peers.getdata.messages.GetUpdatedDataRequest;bisq.network.p2p.peers.getdata.messages.PreliminaryGetDataRequest;bisq.network.p2p.storage.P2PDataStorage;bisq.network.p2p.storage.payload.ProtectedStorageEntry;bisq.common.Timer;bisq.common.UserThread;bisq.common.app.Version;bisq.common.config.Config;bisq.common.util.Profiler;bisq.common.util.Utilities;javax.inject.Inject;javax.inject.Named;javax.inject.Singleton;java.net.URI;java.net.http.HttpClient;java.net.http.HttpRequest;java.net.http.HttpResponse;java.util.HashMap;java.util.LinkedList;java.util.Map;java.util.concurrent.ExecutorService;java.util.concurrent.RejectedExecutionException;java.util.concurrent.TimeUnit;java.util.stream.Stream;java.lang.management.ManagementFactory;lombok.extern.slf4j.Slf4j],[java.lang.String;java.lang.String],[],"header(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#header(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,header
blobsaver,Network.java,header,1,[com.google.gson.Gson;com.google.gson.JsonElement;com.google.gson.JsonParser;java.io.BufferedReader;java.io.IOException;java.io.InputStreamReader;java.net.URI;java.net.URL;java.net.URLConnection;java.net.URLEncoder;java.net.http.HttpClient;java.net.http.HttpRequest;java.net.http.HttpRequest.BodyPublishers;java.net.http.HttpResponse;java.nio.ByteBuffer;java.nio.channels.Channels;java.nio.channels.ReadableByteChannel;java.nio.channels.SeekableByteChannel;java.nio.charset.StandardCharsets;java.nio.file.Path;java.util.Map;java.nio.file.StandardOpenOption.CREATE;java.nio.file.StandardOpenOption.TRUNCATE_EXISTING;java.nio.file.StandardOpenOption.WRITE],[java.lang.String;java.lang.String],[],"header(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#header(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,header
camel,WhatsAppServiceRestAPIAdapter.java,header,4,[java.io.IOException;java.io.InputStream;java.math.BigInteger;java.net.URI;java.net.http.HttpClient;java.net.http.HttpRequest;java.net.http.HttpRequest.BodyPublisher;java.net.http.HttpRequest.BodyPublishers;java.net.http.HttpRequest.Builder;java.net.http.HttpResponse;java.util.HashMap;java.util.Map;java.util.Random;java.util.concurrent.CompletableFuture;java.util.function.Supplier;com.fasterxml.jackson.annotation.JsonInclude;com.fasterxml.jackson.core.JsonProcessingException;com.fasterxml.jackson.databind.ObjectMapper;com.fasterxml.jackson.datatype.jsr310.JavaTimeModule;org.apache.camel.AsyncCallback;org.apache.camel.Exchange;org.apache.camel.RuntimeCamelException;org.apache.camel.component.whatsapp.WhatsAppService;org.apache.camel.component.whatsapp.model.BaseMessage;org.apache.camel.component.whatsapp.model.ContactMessageRequest;org.apache.camel.component.whatsapp.model.InteractiveMessageRequest;org.apache.camel.component.whatsapp.model.LocationMessageRequest;org.apache.camel.component.whatsapp.model.MediaMessageRequest;org.apache.camel.component.whatsapp.model.MessageResponse;org.apache.camel.component.whatsapp.model.TemplateMessageRequest;org.apache.camel.component.whatsapp.model.TextMessageRequest;org.apache.camel.component.whatsapp.model.UploadMediaRequest;org.apache.camel.component.whatsapp.util.FileUploadStreamSupplier;org.apache.camel.util.ObjectHelper;org.slf4j.Logger;org.slf4j.LoggerFactory],[java.lang.String;java.lang.String],[],"header(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#header(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,header
camel,LRAClient.java,header,3,[java.io.Closeable;java.io.IOException;java.net.HttpURLConnection;java.net.URI;java.net.URL;java.net.http.HttpClient;java.net.http.HttpRequest;java.net.http.HttpResponse;java.util.List;java.util.concurrent.CompletableFuture;java.util.function.Function;org.apache.camel.Exchange;org.apache.camel.RuntimeCamelException;org.apache.camel.util.ObjectHelper;org.apache.camel.service.lra.LRAConstants.COORDINATOR_PATH_CANCEL;org.apache.camel.service.lra.LRAConstants.COORDINATOR_PATH_CLOSE;org.apache.camel.service.lra.LRAConstants.COORDINATOR_PATH_START;org.apache.camel.service.lra.LRAConstants.HEADER_LINK;org.apache.camel.service.lra.LRAConstants.HEADER_TIME_LIMIT;org.apache.camel.service.lra.LRAConstants.PARTICIPANT_PATH_COMPENSATE;org.apache.camel.service.lra.LRAConstants.PARTICIPANT_PATH_COMPLETE],[java.lang.String;java.lang.String],[],"header(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#header(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,header
causeway,CausewayModuleValAsciidocApplib.java,header,1,[java.net.MalformedURLException;java.net.URI;java.net.URL;java.net.http.HttpClient;java.net.http.HttpRequest;java.net.http.HttpResponse.BodyHandlers;java.time.Duration;java.util.ArrayList;java.util.List;java.util.Map;org.asciidoctor.Asciidoctor;org.asciidoctor.Attributes;org.asciidoctor.Options;org.asciidoctor.SafeMode;org.asciidoctor.ast.Document;org.asciidoctor.ast.StructuralNode;org.asciidoctor.extension.BlockProcessor;org.asciidoctor.extension.Contexts;org.asciidoctor.extension.Preprocessor;org.asciidoctor.extension.PreprocessorReader;org.asciidoctor.extension.Reader;org.springframework.beans.factory.annotation.Qualifier;org.springframework.boot.autoconfigure.condition.ConditionalOnMissingBean;org.springframework.context.annotation.Bean;org.springframework.context.annotation.Configuration;org.springframework.lang.Nullable;org.apache.causeway.commons.internal.base._Strings;org.apache.causeway.core.config.CausewayConfiguration;lombok.NonNull;lombok.SneakyThrows;lombok.val],[java.lang.String;java.lang.String],[],"header(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#header(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,header
camel,OutgoingMessageHandler.java,setHeader,2,[java.net.URI;java.net.http.HttpClient;java.net.http.HttpRequest;java.net.http.HttpResponse;java.util.concurrent.ExecutionException;com.fasterxml.jackson.databind.ObjectMapper;org.apache.camel.AsyncCallback;org.apache.camel.Exchange;org.apache.camel.component.telegram.model.MessageResult;org.apache.camel.component.telegram.model.OutgoingMessage],[java.lang.String;java.lang.String],[],"setHeader(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#setHeader(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,setHeader
camel,OutgoingMessageHandler.java,setHeader,1,[java.net.URI;java.net.http.HttpClient;java.net.http.HttpRequest;java.net.http.HttpResponse;java.util.concurrent.ExecutionException;com.fasterxml.jackson.databind.ObjectMapper;org.apache.camel.AsyncCallback;org.apache.camel.Exchange;org.apache.camel.component.telegram.model.MessageResult;org.apache.camel.component.telegram.model.OutgoingMessage],[java.lang.String;unknown],[],"setHeader(String, String)","https://docs.oracle.com/en/java/javase/11/docs/api//java.net.http/java/net/http/HttpRequest.Builder.html#setHeader(java.lang.String,java.lang.String)",11,"['String', 'String']",.java.net.http.java.net.http.HttpRequest.Builder,setHeader
